year,month,yearmonth,quarter,cpi_u,cpi_u_nsa
2017,1,Jan-17,2017Q1,243.8,242.839
2017,2,Feb-17,2017Q1,243.8,243.603
2017,3,Mar-17,2017Q1,243.8,243.801
2017,4,Apr-17,2017Q2,244.1,244.524
2017,5,May-17,2017Q2,244.1,244.733
2017,6,Jun-17,2017Q2,244.1,244.955
2017,7,Jul-17,2017Q3,245.4,244.786
2017,8,Aug-17,2017Q3,245.4,245.519
2017,9,Sep-17,2017Q3,245.4,246.819
2017,10,Oct-17,2017Q4,247.3,246.663
2017,11,Nov-17,2017Q4,247.3,246.669
2017,12,Dec-17,2017Q4,247.3,246.524
2018,1,Jan-18,2018Q1,249.3,247.867
2018,2,Feb-18,2018Q1,249.3,248.991
2018,3,Mar-18,2018Q1,249.3,249.554
2018,4,Apr-18,2018Q2,250.6,250.546
2018,5,May-18,2018Q2,250.6,251.588
2018,6,Jun-18,2018Q2,250.6,251.989
2018,7,Jul-18,2018Q3,251.8,252.006
2018,8,Aug-18,2018Q3,251.8,252.146
2018,9,Sep-18,2018Q3,251.8,252.439
2018,10,Oct-18,2018Q4,252.8,252.885
2018,11,Nov-18,2018Q4,252.8,252.038
2018,12,Dec-18,2018Q4,252.8,251.233
2019,1,Jan-19,2019Q1,253.3,251.712
2019,2,Feb-19,2019Q1,253.3,252.776
2019,3,Mar-19,2019Q1,253.3,254.202
2019,4,Apr-19,2019Q2,255.1,255.548
2019,5,May-19,2019Q2,255.1,256.092
2019,6,Jun-19,2019Q2,255.1,256.143
2019,7,Jul-19,2019Q3,256.3,256.571
2019,8,Aug-19,2019Q3,256.3,256.558
2019,9,Sep-19,2019Q3,256.3,256.759
2019,10,Oct-19,2019Q4,257.8,257.346
2019,11,Nov-19,2019Q4,257.8,257.208
2019,12,Dec-19,2019Q4,257.8,256.974
2020,1,Jan-20,2020Q1,258.6,257.971
2020,2,Feb-20,2020Q1,258.6,258.678
2020,3,Mar-20,2020Q1,258.6,258.115
2020,4,Apr-20,2020Q2,256.6,256.389
2020,5,May-20,2020Q2,256.61,
2020,6,Jun-20,2020Q2,256.61,
2020,7,Jul-20,2020Q3,258.276,
2020,8,Aug-20,2020Q3,258.276,
2020,9,Sep-20,2020Q3,258.276,
2020,10,Oct-20,2020Q4,258.806,
2020,11,Nov-20,2020Q4,258.806,
2020,12,Dec-20,2020Q4,258.806,
2021,1,Jan-21,2021Q1,259.386,
2021,2,Feb-21,2021Q1,259.386,
2021,3,Mar-21,2021Q1,259.386,
2021,4,Apr-21,2021Q2,260.614,
2021,5,May-21,2021Q2,260.614,
2021,6,Jun-21,2021Q2,260.614,
2021,7,Jul-21,2021Q3,261.886,
2021,8,Aug-21,2021Q3,261.886,
2021,9,Sep-21,2021Q3,261.886,
2021,10,Oct-21,2021Q4,262.857,
2021,11,Nov-21,2021Q4,262.857,
2021,12,Dec-21,2021Q4,262.857,
2022,1,Jan-22,2022Q1,264.01,
2022,2,Feb-22,2022Q1,264.01,
2022,3,Mar-22,2022Q1,264.01,
2022,4,Apr-22,2022Q2,265.313,
2022,5,May-22,2022Q2,265.313,
2022,6,Jun-22,2022Q2,265.313,
2022,7,Jul-22,2022Q3,266.687,
2022,8,Aug-22,2022Q3,266.687,
2022,9,Sep-22,2022Q3,266.687,
2022,10,Oct-22,2022Q4,268.088,
2022,11,Nov-22,2022Q4,268.088,
2022,12,Dec-22,2022Q4,268.088,
2023,1,Jan-23,2023Q1,269.537,
2023,2,Feb-23,2023Q1,269.537,
2023,3,Mar-23,2023Q1,269.537,
2023,4,Apr-23,2023Q2,271.006,
2023,5,May-23,2023Q2,271.006,
2023,6,Jun-23,2023Q2,271.006,
2023,7,Jul-23,2023Q3,272.493,
2023,8,Aug-23,2023Q3,272.493,
2023,9,Sep-23,2023Q3,272.493,
2023,10,Oct-23,2023Q4,273.997,
2023,11,Nov-23,2023Q4,273.997,
2023,12,Dec-23,2023Q4,273.997,
2024,1,Jan-24,2024Q1,275.527,
2024,2,Feb-24,2024Q1,275.527,
2024,3,Mar-24,2024Q1,275.527,
2024,4,Apr-24,2024Q2,277.075,
2024,5,May-24,2024Q2,277.075,
2024,6,Jun-24,2024Q2,277.075,
2024,7,Jul-24,2024Q3,278.646,
2024,8,Aug-24,2024Q3,278.646,
2024,9,Sep-24,2024Q3,278.646,
2024,10,Oct-24,2024Q4,280.24,
2024,11,Nov-24,2024Q4,280.24,
2024,12,Dec-24,2024Q4,280.24,
2025,1,Jan-25,2025Q1,281.805,
2025,2,Feb-25,2025Q1,281.805,
2025,3,Mar-25,2025Q1,281.805,
2025,4,Apr-25,2025Q2,283.374,
2025,5,May-25,2025Q2,283.374,
2025,6,Jun-25,2025Q2,283.374,
2025,7,Jul-25,2025Q3,284.948,
2025,8,Aug-25,2025Q3,284.948,
2025,9,Sep-25,2025Q3,284.948,
2025,10,Oct-25,2025Q4,286.528,
2025,11,Nov-25,2025Q4,286.528,
2025,12,Dec-25,2025Q4,286.528,
2026,1,Jan-26,2026Q1,288.116,
2026,2,Feb-26,2026Q1,288.116,
2026,3,Mar-26,2026Q1,288.116,
2026,4,Apr-26,2026Q2,289.711,
2026,5,May-26,2026Q2,289.711,
2026,6,Jun-26,2026Q2,289.711,
2026,7,Jul-26,2026Q3,291.312,
2026,8,Aug-26,2026Q3,291.312,
2026,9,Sep-26,2026Q3,291.312,
2026,10,Oct-26,2026Q4,292.921,
2026,11,Nov-26,2026Q4,292.921,
2026,12,Dec-26,2026Q4,292.921,
2027,1,Jan-27,2027Q1,294.539,
2027,2,Feb-27,2027Q1,294.539,
2027,3,Mar-27,2027Q1,294.539,
2027,4,Apr-27,2027Q2,296.165,
2027,5,May-27,2027Q2,296.165,
2027,6,Jun-27,2027Q2,296.165,
2027,7,Jul-27,2027Q3,297.801,
2027,8,Aug-27,2027Q3,297.801,
2027,9,Sep-27,2027Q3,297.801,
2027,10,Oct-27,2027Q4,299.45,
2027,11,Nov-27,2027Q4,299.45,
2027,12,Dec-27,2027Q4,299.45,
2028,1,Jan-28,2028Q1,301.104,
2028,2,Feb-28,2028Q1,301.104,
2028,3,Mar-28,2028Q1,301.104,
2028,4,Apr-28,2028Q2,302.77,
2028,5,May-28,2028Q2,302.77,
2028,6,Jun-28,2028Q2,302.77,
2028,7,Jul-28,2028Q3,304.447,
2028,8,Aug-28,2028Q3,304.447,
2028,9,Sep-28,2028Q3,304.447,
2028,10,Oct-28,2028Q4,306.133,
2028,11,Nov-28,2028Q4,306.133,
2028,12,Dec-28,2028Q4,306.133,
2029,1,Jan-29,2029Q1,307.834,
2029,2,Feb-29,2029Q1,307.834,
2029,3,Mar-29,2029Q1,307.834,
2029,4,Apr-29,2029Q2,309.542,
2029,5,May-29,2029Q2,309.542,
2029,6,Jun-29,2029Q2,309.542,
2029,7,Jul-29,2029Q3,311.259,
2029,8,Aug-29,2029Q3,311.259,
2029,9,Sep-29,2029Q3,311.259,
2029,10,Oct-29,2029Q4,312.985,
2029,11,Nov-29,2029Q4,312.985,
2029,12,Dec-29,2029Q4,312.985,
2030,1,Jan-30,2030Q1,314.721,
2030,2,Feb-30,2030Q1,314.721,
2030,3,Mar-30,2030Q1,314.721,
2030,4,Apr-30,2030Q2,316.466,
2030,5,May-30,2030Q2,316.466,
2030,6,Jun-30,2030Q2,316.466,
2030,7,Jul-30,2030Q3,318.221,
2030,8,Aug-30,2030Q3,318.221,
2030,9,Sep-30,2030Q3,318.221,
2030,10,Oct-30,2030Q4,319.986,
2030,11,Nov-30,2030Q4,319.986,
2030,12,Dec-30,2030Q4,319.986,
